Brca1,E2f6,Esrrb,Foxm1,Grhl2,Hdac2,Klf5,Max,Mga,Nanog,Nfkb2,Patz1,Pou5f1,Rad21,Rel,Rela,Rest,Sin3a,Smc3,Sox2,Sp1,Tbx3,Tlr4,Zfp281,Zfp42,Zic3,openness,GCcontent,Label
0,0,0,0,0,0,174751.834,0,0,32948.11843,0,13989.03872,0,0,0,0,0,0,0,0,58896.36828,0,0,0,0,0,17.0978836,0.666667,1
0,0,0,0,0,0,44861.69148,0,15999.0807,40307.93245,0,13989.03872,0,0,0,0,0,0,0,232656.8538,0,11238.64562,0,0,0,0,15.95308355,0.590361,1
0,1812.427641,0,0,0,0,422462.1134,0,0,0,0,28378.42127,0,0,0,0,0,0,0,0,134437.1414,0,0,0,0,0,10.96302001,0.71875,1
0,0,0,0,0,0,40039.86295,0,32328.97875,0,0,0,0,0,0,0,0,0,0,0,87568.34939,22709.67578,0,0,0,0,24.69113275,0.688889,1
0,0,0,0,0,0,0,0,0,37736.81579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.838656688,0.37037,1
0,0,0,0,0,0,397217.5852,0,35827.4024,0,0,13989.03872,0,0,0,0,0,0,0,0,147019.9783,25167.16345,0,0,0,0,20.4834471,0.642032,1
0,0,0,0,0,0,488063.1675,0,0,0,0,26315.97292,0,0,0,0,0,0,0,67383.73067,155735.9054,0,0,0,431848.5605,0,27.11234968,0.652252,1
0,0,0,17075.90152,0,82984.89591,0,0,68385.0004,30556.36692,0,0,0,0,140.2997168,4282.058673,0,0,0,0,0,48037.43413,0,0,0,3118.946518,1.300610146,0.384146,1
0,5143.21015,0,24632.56576,0,129215.8989,219294.6448,0,0,34777.35904,0,0,0,0,0,0,0,0,0,0,59980.10367,0,0,0,0,0,14.51573069,0.655702,1
0,1589.82988,0,0,0,0,210050.824,0,16634.58047,0,0,13550.0369,0,0,0,0,0,0,0,144609.6078,66928.89602,11685.05606,0,0,0,0,2.029090673,0.757848,1
0,0,45135.39079,19579.05616,0,95485.54956,324834.3387,7589.817129,0,45012.40778,0,0,0,0,0,0,0,11566.40031,0,0,74134.6714,0,0,0,0,0,28.78453795,0.58006,1
0,1839.045431,27864.41422,0,0,0,615015.0361,0,16545.34103,95763.74277,0,13989.03872,0,0,137.5461761,4198.018423,0,0,0,0,239508.1399,11622.36931,0,0,0,3114.363786,22.61907015,0.647059,1
0,0,18402.80844,6009.523592,0,0,265363.0409,0,0,0,0,0,0,0,0,0,0,0,0,0,34546.69032,0,0,0,0,0,26.43000889,0.652928,1
15256.35575,1693.711058,23771.79336,0,0,0,157424.4378,0,0,0,0,27939.41945,0,0,0,0,0,0,0,0,83890.53313,0,0,0,0,0,12.3070003,0.732906,1
0,1589.82988,95452.7403,0,0,0,858226.5441,0,0,110257.7549,0,0,0,0,0,0,0,0,0,0,98625.01388,0,0,0,0,3649.599642,17.32230877,0.636975,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.493332974,0.783951,1
0,1557.792942,44659.50266,0,0,0,478891.9736,0,30873.48656,0,0,26754.97474,0,0,0,0,0,0,0,0,166704.815,21687.25698,0,0,0,0,9.054856969,0.752747,1
0,0,21654.50247,0,0,0,193724.914,0,19419.13265,0,0,28378.42127,0,0,0,0,0,0,0,0,44369.505,13641.08065,0,0,0,0,10.07928534,0.714903,1
0,0,0,0,0,0,138721.0311,0,0,0,0,0,0,0,0,0,0,0,0,68473.86162,39709.70242,0,0,0,0,0,23.84454187,0.563265,1
0,0,0,0,0,0,0,0,15096.14635,0,0,0,0,0,0,0,0,0,0,264495.9441,0,10604.37423,0,0,0,0,6.732802107,0.498525,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20582.62675,0,0,0,0,0,6.977792924,0.488235,1
0,0,0,6009.523592,0,0,0,0,0,69693.47044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.51109327,0.463158,1
0,0,0,0,0,0,0,0,14909.91542,34503.59477,0,0,0,0,0,0,0,0,0,0,0,10473.55524,0,0,285043.5803,0,7.465283829,0.640719,1
0,0,0,0,0,0,207195.603,0,58559.50462,0,0,0,0,0,0,0,0,0,0,0,66326.93804,41135.45849,0,0,0,3017.145802,30.00837443,0.670659,1
0,0,49047.00724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20130.05472,0,0,9526.310874,0,0,27.87185061,0.611801,1
0,3192.520838,22583.12462,0,0,0,267411.7069,0,37804.38362,60411.03373,0,14389.38255,0,0,0,0,0,0,0,0,114303.7565,26555.9052,0,0,408277.3122,3262.78811,8.822743221,0.76771,1
0,0,25972.0703,0,0,0,0,7372.933104,32132.88007,122045.0309,0,0,1343350.564,0,0,0,0,11235.8828,0,67383.73067,0,22571.92514,0,0,0,0,10.6841374,0.407643,1
